Id,Gazeteers_AvgValence,Gazeteers_AvgArousal,DAL_ANEW_AvgValence,DAL_ANEW_AvgArousal,DAL_ANEW_AvgDominance,Synesktech_GeneralWeight,Synesktech_Valence,Synesktech_HappinessWeight,Synesktech_SadnessWeight,Synesktech_AngerWeight,Synesktech_FearWeight,Synesktech_DisgustWeight,Synesktech_SurpriseWeight,GI_positiv,GI_negativ,GI_pstv,GI_affil,GI_ngtv,GI_hostile,GI_strong,GI_power,GI_weak,GI_submit,GI_active,GI_passive,GI_pleasur,GI_pain,GI_feel,GI_arousal,GI_emot,GI_virtue,GI_vice,GI_ovrst,GI_undrst,GI_academ,GI_doctrin,GI_econ@,GI_exch,GI_econ,GI_exprsv,GI_legal,GI_milit,GI_polit@,GI_polit,GI_relig,GI_role,GI_coll,GI_work,GI_ritual,GI_socrel,GI_race,GI_kin@,GI_male,GI_female,GI_nonadlt,GI_hu,GI_ani,GI_place,GI_social,GI_region,GI_route,GI_aquatic,GI_land,GI_sky,GI_object,GI_tool,GI_food,GI_vehicle,GI_bldgpt,GI_comnobj,GI_natobj,GI_bodypt,GI_comform,GI_com,GI_say,GI_need,GI_goal,GI_try,GI_means,GI_persist,GI_complet,GI_fail,GI_natrpro,GI_begin,GI_vary,GI_increas,GI_decreas,GI_finish,GI_stay,GI_rise,GI_exert,GI_fetch,GI_travel,GI_fall,GI_think,GI_know,GI_causal,GI_ought,GI_perceiv,GI_compare,GI_eval@,GI_eval,GI_solve,GI_abs@,GI_abs,GI_quality,GI_quan,GI_numb,GI_ord,GI_card,GI_freq,GI_dist,GI_time@,GI_time,GI_space,GI_pos,GI_dim,GI_rel,GI_color,GI_self,GI_our,GI_you,GI_name,GI_yes,GI_no,GI_negate,GI_intrj,GI_iav,GI_dav,GI_sv,GI_ipadj,GI_indadj,GI_powgain,GI_powloss,GI_powends,GI_powaren,GI_powcon,GI_powcoop,GI_powaupt,GI_powpt,GI_powdoct,GI_powauth,GI_powoth,GI_powtot,GI_rcethic,GI_rcrelig,GI_rcgain,GI_rcloss,GI_rcends,GI_rctot,GI_rspgain,GI_rsploss,GI_rspoth,GI_rsptot,GI_affgain,GI_affloss,GI_affpt,GI_affoth,GI_afftot,GI_wltpt,GI_wlttran,GI_wltoth,GI_wlttot,GI_wlbgain,GI_wlbloss,GI_wlbphys,GI_wlbpsyc,GI_wlbpt,GI_wlbtot,GI_enlgain,GI_enlloss,GI_enlends,GI_enlpt,GI_enloth,GI_enltot,GI_sklasth,GI_sklpt,GI_skloth,GI_skltot,GI_trngain,GI_trnloss,GI_tranlw,GI_meanslw,GI_endslw,GI_arenalw,GI_ptlw,GI_nation,GI_anomie,GI_negaff,GI_posaff,GI_surelw,GI_if,GI_notlw,GI_timespc,GI_formlw,Unnamed: 196,Quadrant,Segment,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler
mt0000022649,2.91,2.6060000000000003,1.976805555555556,1.7992972222222232,1.5722222222222226,1.0,1,1.0,1.0,0.5,0.5,0.5,0.061538461538461535,16,4,16,23,4,3,4,6,6,1,20,20,10,0,0,3,10,5,0,4,2,0,0,4,4,0,0,1,0,1,0,0,4,0,2,0,14,0,1,0,3,0,4,0,2,1,0,1,0,0,0,2,1,0,0,0,1,0,0,7,2,0,1,1,1,3,0,2,2,2,0,2,0,0,4,0,1,1,2,5,0,0,1,1,4,0,0,0,0,4,1,2,0,7,3,0,3,0,0,3,1,6,0,0,2,0,9,2,5,0,0,1,4,3,27,10,18,0,0,0,1,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,1,1,0,2,12,0,4,6,22,0,4,2,6,0,0,2,1,0,3,4,0,0,0,4,8,0,0,0,0,0,4,4,1,2,0,1,0,0,0,0,4,2,5,11,3,,Q3,1.0,56.57,21.21,16.16,9.09,2.02,3.03,2.02,0.0,5.05,5.05,19.19,14.14,0.0,10.1,6.06,2.02,9.09,2.02,1.01,2.02,3.03,0.0,19.19,1.01,6.06,0.0,9.09,7.07,2.02,0.0,0.0,2.02,14.14,3.03,0.0,4.04,1.01,5.05,0.0,3.03,0.0,0.0,0.0,0.0,0.0,5.05,0.0,2.02,3.03,0.0,10.1,4.04,3.03,3.03,0.0,1.01,1.01,0.0,2.02,0.0,0.0,0.0,0.0,0.0
mt0000024499,2.6889999999999996,2.2119999999999997,1.939983516483517,1.7606060439560445,1.676923076923075,1.0,1,1.0,1.0,0.5,0.5,0.5,0.13333333333333333,39,13,39,16,12,7,48,8,7,2,38,17,4,1,0,4,5,28,6,14,23,2,0,1,0,0,6,2,0,0,0,0,3,0,15,5,13,0,0,1,0,1,3,0,17,4,0,0,0,9,4,7,1,4,0,0,2,0,1,10,3,4,1,2,2,7,1,5,1,9,3,4,0,0,0,1,2,6,1,2,0,0,10,7,5,2,1,0,13,6,4,8,17,8,0,0,0,7,1,14,3,29,6,6,3,2,19,0,9,0,2,3,19,10,57,16,49,0,0,4,0,0,0,0,0,0,0,0,0,10,14,5,0,0,0,0,5,0,1,3,4,7,0,1,3,11,0,0,0,0,0,2,5,3,2,12,5,0,3,0,15,23,2,0,14,16,2,1,8,3,3,0,2,0,0,2,2,4,2,22,31,8,,Q3,1.0,48.38,16.61,11.19,9.03,0.0,2.17,0.0,0.0,5.42,2.89,18.05,13.36,3.25,6.14,4.69,4.69,8.3,1.08,5.42,0.36,0.0,0.0,6.14,0.0,0.0,0.72,5.05,3.97,1.08,0.72,0.0,0.36,14.8,2.17,1.08,1.81,3.25,4.33,0.36,2.89,0.72,5.05,1.44,1.08,0.72,2.89,0.36,2.17,0.36,0.0,15.16,0.72,6.86,6.86,0.0,0.36,0.72,0.0,0.36,0.0,0.0,2.89,0.0,0.36
mt0000026571,2.8042857142857143,2.4199999999999995,1.9044626506024105,1.6647084337349398,1.6048192771084342,1.0,1,1.0,0.2,0.2,0.18181818181818185,0.04736842105263158,0.061538461538461535,18,11,17,22,11,4,26,7,12,4,49,26,6,3,0,2,9,5,8,6,5,0,0,3,0,2,4,2,2,3,2,0,0,1,4,1,18,0,0,0,0,0,1,1,1,0,0,0,0,1,0,5,3,1,0,0,1,0,1,8,5,1,7,3,5,8,2,1,1,5,2,5,2,0,12,0,0,0,3,12,0,0,1,6,0,0,0,0,3,7,3,9,1,7,1,0,1,9,0,39,6,18,0,9,2,0,2,0,8,0,0,0,0,0,48,19,14,0,0,0,0,0,0,0,2,0,0,0,1,5,8,0,0,0,0,0,0,1,0,0,1,9,0,0,5,14,0,0,3,3,0,4,4,5,1,14,1,0,0,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,1,2,0,24,5,,Q4,1.0,58.51,11.7,10.64,5.32,0.0,5.32,0.0,0.0,1.06,8.51,15.96,9.57,0.0,9.57,5.32,3.19,23.4,12.77,0.0,2.13,1.06,0.0,9.57,0.0,0.0,0.0,8.51,7.45,1.06,0.0,0.0,1.06,8.51,0.0,0.0,0.0,1.06,1.06,0.0,6.38,0.0,5.32,1.06,1.06,2.13,4.26,1.06,1.06,2.13,0.0,26.6,5.32,5.32,15.96,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mt0000027422,1.61,2.04,1.8350102564102564,1.673290384615385,1.6576923076923076,1.0,-1,0.8,0.8,0.9,1.0,0.7,0.3200000000000001,26,4,26,16,3,13,31,3,21,7,44,38,0,4,0,9,6,16,1,20,20,0,0,0,0,1,0,8,2,2,1,1,3,3,10,0,12,0,1,4,0,0,6,0,9,1,0,0,0,2,6,6,4,0,0,0,2,0,6,26,9,0,5,1,0,6,5,2,0,15,2,4,4,0,7,0,0,3,0,2,0,0,12,3,1,8,1,0,5,9,2,4,0,28,1,0,1,4,0,11,2,28,0,9,5,0,0,0,0,0,1,4,21,5,47,26,12,0,0,1,1,0,0,1,0,1,0,1,0,2,7,9,1,0,0,0,10,3,0,5,8,4,0,1,2,7,0,0,0,0,0,1,4,0,0,5,1,0,0,0,20,21,0,0,1,1,2,0,10,0,9,1,3,0,0,0,5,11,5,23,17,15,,Q3,1.0,51.78,5.08,2.03,0.0,0.0,0.0,2.03,0.0,3.05,15.74,10.15,4.57,4.57,5.08,0.51,4.06,13.71,2.54,5.58,3.05,0.51,0.0,7.61,0.51,0.0,1.02,4.57,2.03,2.54,1.52,0.51,0.0,20.81,2.03,0.51,1.02,4.06,5.08,0.51,3.05,4.06,2.03,0.51,0.51,1.02,5.58,2.54,1.02,0.0,2.03,21.83,6.09,7.11,10.66,0.0,1.52,1.02,0.51,0.0,1.02,0.51,0.51,0.0,2.03
mt0000030834,2.676,2.124,1.90842875,1.7642412499999995,1.6650000000000005,1.0,-1,1.0,0.14285714285714285,0.14285714285714285,0.18181818181818185,0.14285714285714285,0.12857142857142856,22,41,24,31,41,7,44,13,9,3,50,35,9,7,0,6,19,6,29,27,4,0,0,2,2,1,0,2,0,0,4,0,0,0,8,0,21,0,0,6,0,0,0,0,3,0,0,1,0,0,2,2,1,0,0,0,1,0,0,10,4,4,2,0,3,8,4,0,0,5,1,5,0,0,3,1,0,2,3,11,0,0,12,6,0,1,0,0,12,7,1,2,0,5,0,0,0,0,0,4,1,11,1,1,3,0,10,0,2,0,12,1,3,8,39,20,15,0,0,1,0,0,0,5,2,0,0,0,0,11,19,2,0,1,0,0,3,0,0,1,1,14,0,0,7,21,0,0,1,1,0,12,0,6,0,18,5,0,0,0,7,12,0,0,2,2,0,2,6,1,4,0,0,0,0,6,4,22,6,1,10,5,,Q4,1.0,56.41,26.5,23.93,17.09,0.0,0.85,5.13,0.85,2.56,8.55,23.08,13.68,0.0,14.53,6.84,1.71,9.4,6.84,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,16.24,6.84,9.4,8.55,0.0,0.0,14.53,0.85,0.0,4.27,1.71,4.27,0.85,4.27,1.71,5.98,0.85,3.42,1.71,2.56,0.0,0.0,2.56,0.0,16.24,5.13,6.84,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
mt0000031210,2.8254545454545457,2.4263636363636367,2.0358373493975903,1.801621686746988,1.7734939759036146,1.0,1,1.0,1.0,0.5,0.5,0.5,0.0,49,10,49,50,10,5,14,2,9,0,16,44,21,0,0,9,25,5,4,2,4,0,0,6,1,3,5,5,0,0,0,0,2,0,3,0,27,0,0,0,0,0,2,0,6,1,0,0,4,0,1,6,2,0,2,0,1,1,0,6,4,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,0,2,2,0,0,0,4,0,0,0,0,3,0,0,0,3,8,0,0,0,1,0,4,0,10,0,0,4,0,7,0,11,0,0,2,10,2,14,11,11,0,0,0,2,0,0,0,0,0,0,0,0,8,10,4,0,0,0,0,4,0,0,0,0,32,0,0,15,47,0,0,2,2,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,2,0,0,0,4,2,0,12,11,4,,Q3,1.0,60.71,19.64,19.64,11.61,0.0,8.04,0.0,0.0,0.0,8.93,16.07,6.25,1.79,13.39,0.89,2.68,23.21,1.79,13.39,0.0,0.0,0.0,16.96,0.0,0.0,0.0,11.61,12.5,1.79,0.0,0.0,1.79,18.75,0.0,1.79,0.0,0.0,0.89,0.89,3.57,10.71,1.79,0.89,0.89,0.0,7.14,0.0,0.89,6.25,0.0,10.71,1.79,6.25,6.25,0.0,1.79,0.89,0.89,0.89,0.0,0.0,0.0,0.0,0.89
mt0000040773,2.654285714285714,2.465,1.8571012658227848,1.6878354430379758,1.6050632911392393,1.0,1,1.0,0.3333333333333333,0.11428571428571427,1.0,0.05,1.0,17,14,13,6,14,9,31,4,7,1,73,21,5,5,0,6,7,11,0,36,12,2,0,4,0,1,22,5,0,1,0,0,0,3,16,8,14,0,0,0,0,0,3,0,4,3,0,0,0,1,0,45,22,10,0,5,8,0,0,29,23,0,3,1,5,2,1,1,2,1,1,2,3,0,3,0,1,2,1,28,0,0,2,4,1,10,0,0,5,11,3,5,4,25,0,0,0,7,0,23,2,23,0,2,1,0,0,0,0,0,0,0,1,2,59,28,14,0,0,0,1,0,0,0,1,0,1,0,0,6,9,3,0,0,0,0,3,2,1,0,3,1,0,0,0,1,0,0,5,5,7,2,5,9,0,23,10,0,0,0,3,13,10,0,3,13,0,0,5,0,7,0,0,0,1,0,4,17,2,1,16,15,,Q1,1.0,48.44,9.77,6.25,0.0,1.17,0.78,0.0,4.3,3.52,12.11,11.72,7.03,0.78,9.77,1.17,5.47,10.55,4.3,0.39,4.3,0.0,0.0,9.77,0.39,0.0,0.0,6.25,4.69,1.56,0.39,0.78,0.39,12.5,0.39,0.39,0.39,1.56,3.12,0.78,5.86,0.78,5.47,0.39,4.3,0.39,0.78,0.39,0.0,0.0,0.39,13.28,1.56,8.98,2.73,0.0,0.0,4.69,1.17,0.0,0.39,0.0,0.39,0.0,0.0
mt0000042939,1.6572222222222222,2.1677777777777782,1.8346862500000007,1.7226256250000005,1.7762499999999988,1.0,-1,1.0,1.0,1.0,1.0,0.4,1.0,22,50,22,15,46,18,67,10,13,6,38,22,2,15,0,8,8,6,18,14,2,0,0,4,0,14,0,1,0,3,15,4,6,4,9,1,17,2,0,0,0,0,11,0,12,4,2,1,0,2,3,8,5,0,0,1,1,0,2,10,5,0,4,1,0,3,0,2,2,2,1,2,1,0,2,3,2,2,2,5,1,0,4,10,0,6,0,0,7,6,0,16,9,7,2,0,2,1,0,28,16,19,0,0,7,6,5,0,18,8,0,0,1,3,43,16,21,0,1,5,3,0,0,2,0,1,2,0,0,4,17,4,2,3,0,0,9,0,2,3,5,4,0,0,1,5,1,0,6,7,0,14,3,9,2,28,3,0,4,0,11,18,0,0,0,0,1,2,6,4,0,0,2,0,1,7,2,5,3,1,20,8,,Q2,1.0,49.54,11.93,9.63,5.05,0.0,4.59,0.0,0.0,2.29,12.39,10.55,7.8,2.29,5.5,2.75,1.83,15.6,3.21,0.46,0.46,0.92,0.92,6.42,0.0,0.0,0.0,10.55,3.67,6.88,0.92,4.59,0.46,6.88,0.0,0.92,1.83,0.92,0.46,0.46,2.75,0.92,4.13,2.29,1.38,0.46,2.75,1.38,0.92,0.46,0.0,21.1,3.67,9.63,8.26,0.0,0.92,0.92,0.46,0.0,0.92,1.38,0.0,0.46,0.46
mt0000043184,2.7475000000000005,2.175,1.9451570754716998,1.757068867924527,1.4811320754716972,1.0,1,1.0,0.3333333333333333,0.14285714285714285,0.2571428571428571,0.25,1.0,32,27,35,17,33,16,50,21,9,3,43,31,1,1,0,13,4,24,15,31,25,0,0,2,0,3,4,10,0,2,2,9,7,0,7,0,21,0,0,2,0,0,7,1,1,1,0,0,0,0,0,13,6,0,0,0,3,3,5,10,4,3,8,8,4,11,3,6,0,11,0,0,0,0,7,1,4,2,5,7,0,0,10,14,6,3,0,0,9,18,9,9,5,25,3,0,3,7,0,14,0,20,0,0,9,0,22,6,21,0,6,7,3,9,63,22,43,0,2,0,0,4,0,4,0,0,0,0,0,13,21,19,0,5,0,8,32,1,0,1,2,3,0,0,0,3,0,0,3,3,0,0,14,0,0,14,10,0,4,0,26,40,2,0,0,2,1,2,6,0,8,0,1,0,0,15,6,9,17,3,27,5,,Q3,1.0,60.62,23.29,18.49,8.22,3.08,5.14,1.03,1.03,4.79,1.71,19.86,11.99,1.03,13.7,3.42,6.51,8.9,11.64,2.4,1.37,1.03,0.0,13.36,0.0,1.03,0.0,11.3,6.16,5.14,0.34,2.05,0.0,23.63,3.42,1.71,5.14,6.85,2.05,0.68,3.77,6.51,2.4,0.0,1.03,1.37,4.45,2.4,0.34,1.71,0.0,11.3,0.34,4.79,6.16,0.0,0.68,2.74,0.0,0.0,2.74,0.0,0.68,1.03,0.0
mt0000045773,2.7580000000000005,2.492,2.0164232323232327,1.7553242424242437,1.7131313131313124,1.0,1,1.0,1.0,0.14285714285714285,1.0,1.0,0.05263157894736842,50,8,50,55,8,1,25,4,4,1,24,45,24,2,0,5,28,12,6,31,11,1,0,1,0,0,0,4,0,1,1,1,5,0,7,1,26,0,0,1,2,3,5,0,1,1,0,0,0,0,0,4,0,1,0,0,2,1,2,3,1,1,0,0,0,3,0,0,0,4,0,1,3,0,0,2,0,2,1,6,0,0,0,0,0,5,0,0,1,5,1,3,4,21,0,0,0,0,0,18,2,36,3,3,6,0,3,0,11,0,2,0,0,2,29,13,19,0,1,0,1,0,0,0,1,0,0,0,0,0,2,3,1,1,0,0,5,0,0,3,3,33,0,0,17,50,0,0,1,1,0,5,2,1,0,8,5,0,0,1,2,8,0,1,1,2,2,0,2,0,4,0,1,0,1,2,1,29,0,0,29,1,,Q3,1.0,59.46,8.11,8.11,4.05,0.0,4.05,0.0,0.0,0.0,6.76,17.57,10.81,0.68,16.22,0.68,6.08,12.84,12.16,0.0,6.08,0.0,0.0,16.89,0.0,0.0,0.68,9.46,8.11,1.35,0.0,0.68,0.68,20.27,0.68,0.68,0.0,0.0,6.08,0.0,11.49,1.35,4.05,2.7,0.0,1.35,8.11,2.03,0.0,6.08,0.0,24.32,1.35,16.22,6.08,0.0,1.35,0.68,0.0,0.0,0.0,0.68,0.0,0.68,0.68
