Nome;Chorus certo;Chorus errado;Chorus a mais;Chorus a menos;Chorus oficial
2Pac California Love;3;0;3;0;3
2Pac Me Against the World;4;0;0;0;4
50 Cent All of Me;3;0;0;0;3
50 Cent My Gun Go Off;3;0;0;0;3
50 Cent Ski Mask Way;3;0;0;0;3
50 Cent U Not Like Me;3;0;0;0;3
ABBA I Have a Dream;3;0;0;0;3
AC DC Down Payment Blues;2;0;0;0;2
AC DC Evil Walks;3;0;0;0;3
AC DC Flick of the Switch;3;0;0;0;3
Al Green I'm Hooked on You;1;0;1;0;1
Al Green Oh Pretty Woman;1;0;1;0;1
Alabama Angels Among Us;3;0;0;0;3
Alan Jackson A Holly Jolly Christmas;0;5;0;0;2
Alice in Chains Brother;3;0;0;0;3
Anthrax A.I.R.;2;0;3;0;2
Anthrax Among the Living;4;0;4;0;4
Anthrax Anti-Social;3;0;0;0;3
Anthrax C11 H17 N2 O2 S Na;0;3;0;0;2
Anthrax Indians;3;0;0;0;3
Anthrax Potters Field;2;0;4;0;2
Anthrax This Is Not an Exit;4;0;2;0;4
Aretha Franklin Going Down Slow;0;2;0;0;2
Aretha Franklin Hello Sunshine;4;0;1;0;4
Barenaked Ladies Be My Yoko Ono;3;0;0;0;3
Barenaked Ladies If I Had $10000;2;0;3;1;3
Barry White Your Sweetness Is My Weakness;1;0;3;1;2
Beastie Boys Body Movin';4;0;0;0;4
Beastie Boys Time for Livin';1;0;1;0;1
Bee Gees More Than a Woman;2;0;1;0;2
Bee Gees Night Fever;5;0;1;0;5
Bee Gees Too Much Heaven;4;0;1;0;4
Billie Holiday Without Your Love;0;3;0;0;2
Billy Joel It's Still Rock and Roll to Me;4;0;3;0;4
Bing Crosby I'm an Old Cowhand (From the Rio Grande);5;0;0;0;5
Bjork Hunter;2;0;1;0;2
Bj?rk Desired Constellation;2;0;0;0;2
Black Sabbath Changes;3;0;0;0;3
Black Sabbath Sabbath Bloody Sabbath;2;0;0;0;2
Black Sabbath The Writ;2;0;3;1;3
Blake Shelton Don't Make Me;2;0;2;0;2
Blake Shelton I Drink;3;0;1;0;3
Blu Cantrell Breathe;2;0;1;0;2
Bob Dylan I Want You;4;0;0;0;4
Bob Dylan If You Gotta Go Go Now;5;0;0;0;5
Bob Dylan Not Dark Yet;4;0;0;0;4
Bob Marley Redemption Song;3;0;1;0;3
Bob Marley Stir It Up;4;0;0;0;4
Bobby McFerrin Drive My Car;4;0;0;0;4
Brenda Lee As Usual;0;3;0;0;3
Brooks Dunn Neon Moon;3;0;1;0;3
Brooks Dunn That Ain't No Way to Go;2;0;1;0;2
Bruce Springsteen Atlantic City;4;0;0;0;4
Bruce Springsteen Crush on You;3;0;0;0;3
Bruce Springsteen Glory Days;3;0;0;1;4
Bruce Springsteen Mary's Place;3;0;1;0;3
Bruce Springsteen My City of Ruins;5;0;0;0;5
Bruce Springsteen Pink Cadillac;3;0;0;0;3
Bruce Springsteen The Promise;2;0;0;0;2
Bruce Springsteen The Rising;3;0;0;0;3
Carly Simon Nobody Does It Better;0;3;0;0;2
Cher Could've Been You;3;0;0;0;3
Cher Rain Rain;3;0;1;0;3
Christina Aguilera Dirrty;3;0;1;0;3
Chuck Berry I'm Talking About You;3;0;0;0;3
Chuck Berry Merry Christmas Baby;2;0;0;0;2
Chuck Berry Nadine;4;0;0;0;4
Chuck Berry No Money Down;3;0;0;0;3
Conway Twitty Darling You Know I Wouldn't Lie;0;3;0;0;1
Conway Twitty Guess My Eyes Were Bigger Than My Heart;2;0;1;0;2
Curtis Mayfield Future Shock;3;0;0;0;3
Cypress Hill Stoned Is the Way of the Walk;2;0;0;0;2
Daryl Hall John Oates Private Eyes;3;0;0;0;3
David Bowie Rosalyn;1;0;3;1;2
Deep Purple Breakfast in Bed;2;0;0;0;2
Deep Purple Never Before;3;0;3;0;3
Diana Ross Upside Down;4;0;0;0;4
Dido Here with Me;3;0;3;0;3
Dido Thank You;2;0;0;0;2
Dionne Warwick That's What Friends Are For;4;0;1;0;4
DMX I Run Shit;3;0;0;0;3
DMX Ruff Ryders' Anthem;4;0;0;0;4
DMX We in Here;4;0;0;0;4
DMX What's My Name;3;0;0;0;3
Dolly Parton God Won't Get You;2;0;1;0;2
Dolly Parton Randy;2;0;0;0;2
Electric Light Orchestra Mr. Blue Sky;3;0;1;0;3
Elton John American Triangle;3;0;1;0;3
Elton John Dixie Lily;3;0;0;0;3
Elton John Lucy in the Sky With Diamonds;8;0;0;0;8
Elton John Wrap Her Up;3;0;1;0;3
Elvis Costello Lovable;4;0;0;0;4
Elvis Costello The Other Side of Summer;0;1;0;0;3
Elvis Presley A Little Less Conversation;3;0;0;0;3
Elvis Presley Confidence;5;0;1;0;5
Elvis Presley One-Sided Love Affair;2;0;2;1;3
Elvis Presley Wear My Ring Around Your Neck;1;0;4;1;2
Elvis Presley “Green Grass of Home;3;0;0;1;4
Eminem Mosh;3;0;0;0;3
Eminem Soldier;3;0;1;0;3
Emmylou Harris Too Far Gone;2;0;0;0;2
Eric Clapton Hello Old Friend;4;0;0;0;4
Eric Clapton I've Got a Rock 'N' Roll Heart;2;0;1;1;3
Eric Clapton My Father's Eyes;5;0;0;0;5
Eric Clapton River of Tears;2;0;1;0;2
Eric Clapton Spoonful;3;0;0;0;3
Flo Rida Sugar;0;5;0;0;4
Gene Vincent Be-Bop-A-Lula;4;0;0;0;4
George Benson We Got the Love;2;0;3;0;2
George Harrison What Is Life;3;0;0;0;3
George Michael Freedom;3;0;0;1;4
George Strait Cowboys Like Us;2;0;0;0;2
George Strait Four Down and Twelve Across;2;0;1;0;2
George Strait Round About Way;2;0;1;0;2
Gloria Estefan Rhythm Is Gonna Get You;2;0;5;0;2
Godsmack I fucking hate you;3;0;3;0;3
Godsmack Straight Out of Line;3;0;0;0;3
Ice Cube Dirty Mack;2;0;1;0;2
Ice Cube Ghetto Vet;3;0;0;0;3
Ice Cube No Vaseline;1;0;1;1;2
Ice Cube The Nigga Ya Love to Hate;2;0;0;0;2
Ice Cube The Predator;3;0;0;0;3
Ice Cube Wicked;3;0;3;0;3
Ice-T O.G. Original Gangster;4;0;0;0;4
Incognito Summer in the City;3;0;1;0;3
James Brown Papa's Got a Brand New Bag;3;0;0;0;3
Janet Jackson Feedback;3;0;0;0;3
Janet Jackson Let's Wait Awhile;3;0;0;0;3
Jennifer Lopez Do It Well;3;0;0;0;3
Jennifer Lopez Get Right;3;0;1;0;3
Jennifer Lopez I'm Real;4;0;0;0;4
Jennifer Lopez Love Don't Cost a Thing;4;0;0;0;4
Jennifer Lopez Play;3;0;1;0;3
Jennifer Lopez Waiting for Tonight;3;0;0;0;3
Jerry Jeff Walker Mississippi You're on My Mind;1;0;4;4;5
Jimmy Buffett Blue Heaven Rendezvous;3;0;1;0;3
Jimmy Buffett Fruitcakes;5;0;0;0;5
John Denver Take Me Home Country Roads;3;0;0;0;3
John Hiatt Memphis in the Meantime;2;0;3;1;3
John Lennon Angel Baby;3;0;0;0;3
John Lennon I Found Out;4;0;1;0;4
John Lennon You Are Here;3;0;0;0;3
Johnny Cash Old Apache Squaw;2;0;0;0;2
Joni Mitchell Chelsea Morning;3;0;3;0;3
Joss Stone Fell in Love With a Boy;2;0;4;0;2
Judas Priest Breaking the Law;3;0;1;0;3
Judas Priest Bullet Train;3;0;1;0;3
Katie Melua I Cried for You;3;0;1;0;3
Keith Urban You'll Think of Me;3;0;0;0;3
Kelis Caught Out There;3;0;0;0;3
Killswitch Engage Reckoning;4;0;0;0;4
Killswitch Engage Unbroken;2;0;1;1;3
Kirk Franklin Looking for You;3;0;5;0;3
Kirk Franklin Stomp;2;0;6;0;2
Kiss A World Without Heroes;2;0;1;0;2
Kiss Calling Dr. Love;3;0;1;0;3
Kiss Let Me Go Rock 'n' Roll;3;0;0;0;3
Krokus Long Stick Goes Boom;2;0;0;0;2
Krokus Screaming in the Night;1;0;1;0;1
Lamb of God Redneck;3;0;1;0;3
Lamb of God Walk with Me in Hell;2;0;2;0;2
LeAnn Rimes Big Deal;3;0;1;0;3
Led Zeppelin Bron-Y-Aur Stomp;2;0;0;0;2
Led Zeppelin Dancing Days;4;0;2;0;4
Lenny Kravitz Heaven Help;3;0;0;0;3
Lil Wayne Fuck Wit Me;3;0;0;0;3
Limp Bizkit Eat You Alive;3;0;0;0;3
Limp Bizkit Getcha Groove On;4;0;0;1;5
Limp Bizkit The Propaganda;0;2;0;0;2
Limp Bizkit The Story;3;0;2;0;3
Linkin Park Runaway;0;4;0;0;3
Lionel Richie Say You Say Me;4;0;0;0;4
LL Cool J Mama Said Knock You Out;4;0;0;0;4
Lou Reed Modern Dance;3;0;0;0;3
Ludacris Blow It Out;6;0;0;0;6
Ludacris Get Back;4;0;0;0;4
Ludacris Glamorous;3;0;0;0;3
Luther Vandross I Can't Wait No Longer (Let's Do This);1;0;4;2;3
Lynyrd Skynyrd I Never Dreamed;3;0;2;0;3
Madonna Deeper and Deeper;4;0;1;0;4
Madonna Don't Tell Me;2;0;2;0;2
Madonna Express Yourself;4;0;3;0;4
Madonna Impressive Instant;0;1;0;0;2
Madonna Like a Virgin;3;0;1;0;3
Madonna Music;3;0;0;3;6
Manic Street Preachers 4st 7lb;2;0;0;0;2
Manic Street Preachers Of Walking Abortion;2;0;1;0;2
Mariah Carey All I Want for Christmas Is You;2;0;1;1;3
Mariah Carey Emotions;4;0;0;0;4
Mariah Carey One Sweet Day;3;0;1;0;3
Marianne Faithfull In Germany Before the War;2;0;1;0;2
Marianne Faithfull The Crane Wife 3;2;0;0;0;2
Marilyn Manson Born Again;3;0;1;0;3
Marilyn Manson Burning Flag;3;0;1;0;3
Marilyn Manson Count to Six and Die (The Vacuum of Infinite Space Encompassing);1;0;1;0;1
Marilyn Manson Man That You Fear;2;0;6;1;3
Marvin Gaye How Sweet It Is (To Be Loved by You);6;0;0;0;6
Mastodon Blood and Thunder;3;0;0;0;3
Mastodon Megalodon;2;0;0;0;2
Mastodon Siberian Divide;2;0;1;0;2
Meat Loaf You Took the Words Right Out of My Mouth (Hot Summer Night);3;0;1;0;3
Megadeth Black Curtains;3;0;0;0;3
Megadeth Dread and the Fugitive Mind;2;0;2;0;2
Megadeth Mastermind;2;0;0;1;3
Megadeth Moto Psycho;3;0;1;0;3
Megadeth Prince of Darkness;2;0;1;1;3
Megadeth Seven;2;0;2;0;2
Megadeth The Killing Road;2;0;1;0;2
Merle Haggard A Place to Fall Apart;2;0;0;0;2
Merle Haggard High on a Hilltop;2;0;0;0;2
Merle Haggard I Made the Prison Band;1;0;1;0;1
Merle Haggard If I Could Only Fly;2;0;1;0;2
Metallica Battery;3;0;0;0;3
Metallica Last Caress Green Hell;4;0;4;3;7
Metallica Metal Militia;2;0;1;1;3
Metallica Phantom Lord;3;0;0;0;3
Michael Jackson Who Is It;4;0;1;0;4
Michael W. Smith Let It Rain;2;0;0;0;2
Ministry Just One Fix;3;0;0;0;3
Mobb Deep Survival of the Fittest;2;0;0;0;2
Moby Natural Blues;3;0;0;0;3
N.W.A Gangsta Gangsta;3;0;0;0;3
Nas Drunk by Myself;3;0;0;0;3
Nas Ether;4;0;0;0;4
Neil Young California Sunset;3;0;0;0;3
Neil Young Daddy Went Walkin';4;0;0;8;12
Neil Young Flags of Freedom;2;0;0;0;2
Nelly Furtado Forca;2;0;2;2;4
