entry, positiv, negativ, pstv, affil, ngtv, hostile, strong, power, weak, submit, active, passive, pleasur, pain, feel, arousal, emot, virtue, vice, ovrst, undrst, academ, doctrin, econ@, exch, econ, exprsv, legal, milit, polit@, polit, relig, role, coll, work, ritual, socrel, race, kin@, male, female, nonadlt, hu, ani, place, social, region, route, aquatic, land, sky, object, tool, food, vehicle, bldgpt, comnobj, natobj, bodypt, comform, com, say, need, goal, try, means, persist, complet, fail, natrpro, begin, vary, increas, decreas, finish, stay, rise, exert, fetch, travel, fall, think, know, causal, ought, perceiv, compare, eval@, eval, solve, abs@, abs, quality, quan, numb, ord, card, freq, dist, time@, time, space, pos, dim, rel, color, self, our, you, name, yes, no, negate, intrj, iav, dav, sv, ipadj, indadj, powgain, powloss, powends, powaren, powcon, powcoop, powaupt, powpt, powdoct, powauth, powoth, powtot, rcethic, rcrelig, rcgain, rcloss, rcends, rctot, rspgain, rsploss, rspoth, rsptot, affgain, affloss, affpt, affoth, afftot, wltpt, wlttran, wltoth, wlttot, wlbgain, wlbloss, wlbphys, wlbpsyc, wlbpt, wlbtot, enlgain, enlloss, enlends, enlpt, enloth, enltot, sklasth, sklpt, skloth, skltot, trngain, trnloss, tranlw, meanslw, endslw, arenalw, ptlw, nation, anomie, negaff, posaff, surelw, if, notlw, timespc, formlw, 
ag_7r, 61, 25, 60, 48, 23, 22, 59, 14, 9, 10, 86, 93, 1, 4, 0, 30, 17, 20, 7, 27, 18, 0, 2, 25, 4, 14, 6, 12, 0, 0, 5, 0, 3, 0, 14, 2, 33, 1, 0, 1, 1, 1, 3, 0, 4, 1, 1, 2, 0, 0, 0, 17, 9, 2, 1, 0, 4, 0, 9, 35, 17, 3, 38, 0, 8, 31, 1, 4, 2, 5, 2, 3, 2, 0, 3, 2, 0, 3, 2, 6, 2, 0, 20, 2, 3, 19, 0, 0, 3, 18, 1, 4, 4, 38, 3, 0, 3, 1, 0, 17, 3, 13, 1, 1, 22, 1, 78, 1, 11, 2, 16, 4, 15, 23, 104, 40, 61, 0, 1, 5, 2, 0, 0, 0, 1, 0, 1, 0, 0, 2, 11, 14, 0, 0, 0, 1, 15, 2, 0, 4, 6, 14, 0, 0, 2, 16, 0, 8, 14, 22, 0, 1, 1, 2, 2, 6, 15, 0, 0, 0, 21, 36, 0, 0, 4, 4, 3, 7, 33, 3, 27, 1, 3, 0, 0, 7, 17, 19, 4, 15, 14, 11, 
ba_my, 43, 23, 42, 27, 20, 28, 34, 11, 11, 7, 64, 27, 1, 0, 0, 15, 8, 15, 4, 17, 14, 3, 0, 6, 0, 3, 3, 2, 0, 1, 2, 0, 7, 4, 6, 4, 22, 0, 0, 1, 0, 3, 11, 0, 2, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 17, 10, 1, 8, 0, 10, 17, 3, 6, 1, 3, 0, 5, 0, 0, 0, 1, 2, 1, 2, 9, 0, 0, 17, 0, 0, 5, 8, 3, 10, 9, 3, 6, 4, 25, 3, 1, 2, 4, 0, 19, 3, 17, 2, 0, 9, 0, 19, 0, 5, 1, 3, 8, 30, 13, 85, 10, 10, 0, 3, 2, 0, 0, 0, 2, 1, 0, 0, 1, 0, 2, 8, 9, 0, 1, 0, 0, 10, 6, 0, 5, 11, 5, 0, 1, 4, 10, 2, 0, 3, 5, 0, 1, 0, 1, 4, 6, 6, 0, 0, 0, 16, 22, 0, 0, 0, 0, 1, 0, 13, 2, 12, 0, 2, 0, 0, 2, 16, 9, 0, 37, 24, 10, 
dr_hb, 74, 44, 76, 64, 44, 10, 36, 4, 32, 1, 47, 97, 24, 0, 0, 8, 29, 8, 10, 59, 42, 1, 10, 1, 0, 5, 3, 5, 0, 7, 11, 0, 2, 6, 3, 2, 43, 0, 0, 0, 2, 2, 8, 0, 8, 1, 6, 1, 0, 0, 0, 29, 11, 0, 0, 10, 0, 8, 0, 38, 19, 0, 30, 1, 1, 12, 7, 2, 0, 8, 0, 0, 0, 0, 1, 1, 0, 0, 1, 9, 0, 0, 38, 15, 2, 3, 2, 0, 10, 23, 14, 22, 0, 67, 9, 0, 9, 12, 0, 83, 8, 33, 8, 0, 1, 0, 47, 1, 75, 0, 12, 11, 20, 16, 48, 47, 48, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 6, 0, 1, 9, 7, 0, 1, 0, 1, 9, 1, 0, 1, 2, 34, 1, 0, 19, 54, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 51, 56, 0, 0, 9, 9, 0, 0, 8, 9, 31, 5, 7, 0, 0, 2, 4, 17, 5, 21, 116, 11, 
em_ly, 91, 115, 95, 53, 112, 73, 215, 42, 75, 22, 247, 96, 6, 4, 0, 11, 10, 49, 16, 74, 90, 1, 4, 19, 2, 16, 11, 8, 1, 4, 12, 1, 17, 2, 24, 1, 89, 0, 5, 29, 10, 1, 20, 1, 12, 6, 2, 0, 2, 2, 0, 16, 8, 2, 0, 2, 2, 2, 7, 30, 22, 1, 5, 9, 48, 32, 17, 14, 38, 13, 4, 43, 8, 1, 8, 4, 2, 32, 15, 48, 4, 0, 27, 36, 7, 7, 20, 0, 33, 23, 26, 41, 25, 84, 14, 2, 12, 15, 1, 78, 14, 60, 2, 0, 22, 0, 20, 1, 82, 8, 4, 6, 39, 25, 306, 111, 46, 0, 1, 6, 18, 2, 1, 17, 16, 0, 0, 0, 1, 13, 74, 25, 0, 4, 0, 1, 30, 16, 1, 2, 19, 6, 0, 6, 8, 20, 0, 3, 14, 17, 3, 4, 20, 6, 2, 35, 4, 0, 0, 0, 23, 27, 7, 0, 7, 14, 8, 41, 24, 7, 68, 3, 8, 0, 0, 4, 19, 38, 13, 45, 97, 25, 
fs_li, 49, 87, 49, 33, 85, 32, 69, 60, 22, 3, 62, 61, 8, 10, 0, 9, 14, 12, 13, 15, 21, 0, 1, 4, 4, 2, 2, 4, 0, 1, 3, 0, 0, 0, 11, 0, 76, 0, 0, 7, 0, 0, 0, 0, 37, 2, 2, 3, 0, 0, 30, 4, 2, 2, 0, 0, 0, 0, 0, 16, 5, 1, 4, 0, 3, 9, 3, 0, 50, 44, 0, 8, 0, 0, 0, 2, 0, 10, 4, 11, 0, 0, 5, 12, 1, 1, 0, 0, 8, 3, 0, 0, 23, 21, 0, 0, 0, 0, 0, 13, 0, 32, 6, 12, 4, 0, 8, 1, 6, 0, 0, 2, 8, 31, 151, 50, 27, 0, 4, 3, 3, 0, 0, 14, 3, 0, 0, 0, 0, 7, 30, 4, 0, 0, 0, 1, 5, 0, 0, 5, 5, 13, 0, 0, 11, 24, 0, 0, 4, 4, 0, 13, 2, 9, 0, 24, 3, 0, 2, 0, 3, 8, 0, 0, 0, 0, 3, 54, 29, 0, 7, 0, 0, 0, 0, 10, 13, 34, 7, 10, 23, 7, 
gd_21, 34, 51, 33, 28, 51, 36, 63, 19, 25, 4, 103, 46, 2, 1, 0, 14, 4, 17, 7, 13, 6, 0, 2, 11, 1, 6, 1, 4, 4, 3, 1, 3, 2, 5, 4, 5, 53, 0, 0, 0, 0, 0, 7, 0, 11, 4, 1, 1, 0, 1, 4, 4, 3, 0, 0, 0, 1, 0, 2, 4, 3, 0, 2, 3, 8, 10, 4, 5, 16, 21, 5, 3, 0, 1, 14, 5, 0, 8, 9, 4, 0, 0, 11, 4, 1, 8, 1, 0, 1, 10, 4, 5, 1, 14, 10, 2, 8, 3, 0, 20, 1, 36, 1, 0, 7, 0, 3, 0, 38, 0, 0, 0, 1, 3, 96, 58, 13, 0, 1, 1, 9, 0, 0, 15, 0, 1, 0, 0, 0, 6, 32, 3, 1, 1, 0, 2, 7, 2, 4, 4, 10, 7, 0, 0, 1, 8, 0, 0, 8, 8, 0, 2, 19, 1, 0, 22, 2, 0, 0, 0, 11, 13, 0, 0, 4, 4, 16, 10, 19, 2, 4, 0, 1, 0, 0, 1, 1, 9, 2, 1, 36, 5, 
gd_bo, 9, 10, 11, 2, 10, 22, 7, 3, 39, 1, 97, 11, 0, 2, 0, 4, 4, 6, 3, 37, 34, 1, 0, 22, 0, 3, 0, 4, 0, 1, 2, 0, 21, 0, 2, 0, 3, 0, 0, 0, 0, 0, 21, 0, 8, 1, 2, 5, 0, 0, 0, 7, 0, 0, 0, 0, 4, 3, 0, 2, 2, 0, 7, 3, 0, 3, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 85, 0, 0, 11, 0, 0, 1, 0, 0, 2, 8, 1, 1, 1, 47, 6, 0, 6, 0, 0, 5, 0, 50, 0, 0, 1, 0, 41, 0, 0, 0, 2, 0, 0, 4, 42, 24, 6, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 2, 0, 1, 0, 0, 3, 0, 0, 1, 1, 0, 14, 0, 2, 16, 0, 0, 2, 2, 0, 0, 1, 4, 0, 5, 2, 0, 3, 0, 11, 16, 0, 0, 21, 21, 0, 0, 22, 1, 7, 2, 3, 0, 0, 0, 0, 19, 1, 0, 31, 1, 
jc_gg, 22, 52, 22, 32, 52, 35, 89, 23, 46, 9, 192, 46, 0, 0, 0, 4, 12, 23, 2, 17, 15, 0, 0, 10, 0, 1, 2, 2, 0, 10, 4, 1, 13, 0, 6, 1, 51, 2, 0, 6, 0, 0, 13, 0, 1, 1, 0, 0, 0, 0, 0, 8, 4, 1, 0, 0, 2, 1, 10, 12, 6, 17, 24, 1, 25, 3, 7, 0, 14, 4, 0, 20, 9, 12, 11, 1, 2, 15, 1, 60, 0, 0, 12, 3, 0, 18, 0, 0, 4, 19, 0, 15, 7, 5, 0, 0, 0, 27, 1, 103, 14, 65, 0, 36, 3, 4, 9, 0, 25, 1, 3, 0, 0, 5, 208, 69, 26, 0, 0, 8, 4, 0, 0, 0, 7, 1, 2, 0, 0, 8, 30, 4, 0, 0, 0, 1, 5, 1, 0, 1, 2, 2, 0, 3, 1, 6, 0, 0, 1, 1, 0, 1, 7, 0, 0, 8, 34, 0, 0, 0, 10, 44, 1, 0, 13, 14, 0, 13, 9, 0, 32, 0, 0, 0, 0, 1, 2, 7, 3, 0, 26, 5, 
jc_hu, 16, 22, 18, 7, 21, 12, 31, 18, 11, 0, 47, 26, 0, 5, 0, 8, 4, 4, 3, 28, 10, 0, 0, 2, 0, 1, 0, 6, 0, 4, 1, 0, 2, 0, 5, 0, 22, 0, 0, 0, 0, 0, 2, 0, 5, 1, 0, 1, 0, 1, 0, 15, 8, 0, 0, 0, 4, 3, 0, 2, 0, 0, 4, 3, 3, 10, 1, 4, 2, 1, 2, 0, 2, 0, 7, 0, 0, 2, 0, 7, 0, 0, 7, 0, 0, 8, 0, 0, 1, 13, 5, 6, 3, 14, 1, 0, 1, 5, 0, 20, 1, 15, 0, 0, 5, 0, 23, 0, 14, 0, 2, 0, 1, 8, 58, 12, 28, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 12, 16, 5, 0, 1, 0, 0, 6, 0, 0, 2, 2, 0, 0, 2, 0, 2, 0, 1, 5, 6, 0, 4, 6, 0, 0, 10, 1, 0, 1, 0, 12, 14, 0, 0, 0, 0, 0, 5, 9, 0, 3, 0, 1, 0, 0, 0, 0, 15, 2, 1, 29, 0, 
jl_im, 16, 12, 16, 11, 12, 15, 16, 5, 8, 0, 17, 20, 0, 1, 0, 5, 1, 6, 3, 15, 23, 0, 1, 1, 0, 1, 6, 3, 0, 0, 3, 3, 5, 3, 3, 0, 10, 0, 0, 1, 0, 0, 8, 0, 3, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 8, 8, 2, 7, 0, 2, 6, 0, 1, 0, 6, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 5, 10, 3, 5, 1, 34, 4, 0, 4, 0, 0, 3, 2, 3, 0, 0, 2, 0, 4, 4, 12, 0, 0, 6, 27, 6, 27, 10, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 10, 15, 1, 2, 0, 0, 1, 4, 1, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 6, 1, 0, 8, 2, 0, 0, 0, 2, 4, 0, 0, 1, 1, 0, 2, 3, 0, 8, 6, 2, 0, 0, 0, 1, 16, 8, 33, 6, 8, 
