Id, AvgValence, AvgArousal, AvgDominance
mt0000008995, 2.01265376344086, 1.7142526881720432, 1.4193548387096777, 
mt0000022649, 1.9768055555555561, 1.799297222222223, 1.5722222222222226, 
mt0000024499, 1.939983516483517, 1.7606060439560443, 1.676923076923075, 
mt0000026571, 1.9044626506024105, 1.6647084337349398, 1.604819277108434, 
mt0000027422, 1.8350102564102564, 1.673290384615385, 1.6576923076923076, 
mt0000030834, 1.90842875, 1.7642412499999995, 1.6650000000000003, 
mt0000031210, 2.0358373493975903, 1.801621686746988, 1.7734939759036146, 
mt0000040773, 1.8571012658227852, 1.6878354430379758, 1.6050632911392393, 
mt0000042939, 1.8346862500000007, 1.7226256250000003, 1.7762499999999988, 
mt0000043184, 1.9451570754716996, 1.757068867924527, 1.4811320754716972, 
mt0000045773, 2.0164232323232327, 1.7553242424242437, 1.7131313131313124, 
mt0000048600, 1.968138666666667, 1.6295080000000004, 1.8866666666666674, 
mt0000052463, 1.875656262425447, 1.699701590457256, 1.5105367793240556, 
mt0000053935, 2.047015104166667, 1.6328578125000004, 1.4572916666666649, 
mt0000054766, 1.8947834224598934, 1.7499251336898387, 1.5529411764705876, 
mt0000059269, 1.9703009900990098, 1.7189554455445544, 1.8554455445544553, 
mt0000063684, 1.8804205607476638, 1.677971028037383, 1.8205607476635501, 
mt0000067251, 1.80930705882353, 1.6424570588235292, 1.6552941176470577, 
mt0000079102, 2.055336470588236, 1.8184835294117643, 1.5811764705882354, 
mt0000081255, 1.9184688461538468, 1.7301653846153833, 1.6999999999999988, 
mt0000082188, 1.919004687499999, 1.7451578125000005, 1.7687499999999998, 
mt0000086428, 1.884459259259259, 1.6782748148148157, 1.6103703703703702, 
mt0000090550, 1.8031306666666667, 1.6283999999999998, 1.544, 
mt0000091401, 1.9282631205673764, 1.696634042553192, 1.7687943262411339, 
mt0000091781, 1.9660640000000005, 1.775942666666667, 1.6986666666666672, 
mt0000092637, 1.9655923913043483, 1.589872826086957, 1.5282608695652176, 
mt0000095414, 1.8490039215686274, 1.5874980392156857, 1.584313725490195, 
mt0000103049, 2.032758426966292, 1.6395707865168545, 1.5955056179775275, 
mt0000103874, 1.9915609090909085, 1.7241750000000002, 1.5199999999999987, 
mt0000105492, 2.013929565217392, 1.7760660869565221, 1.7339130434782606, 
mt0000106285, 2.0057700000000005, 1.6734008333333328, 1.5266666666666664, 
mt0000111068, 2.0106885350318486, 1.712364968152867, 1.7961783439490442, 
mt0000114645, 2.3376685314685313, 2.015848951048951, 1.573426573426574, 
mt0000119701, 1.9604160714285712, 1.6907892857142854, 1.4321428571428572, 
mt0000119987, 1.938735930735932, 1.6512203463203459, 1.603463203463203, 
mt0000124779, 1.9463416000000002, 1.7952656000000002, 1.945599999999998, 
mt0000128573, 1.8819972477064228, 1.554551376146789, 1.6788990825688073, 
mt0000130807, 1.7505178861788626, 1.62150162601626, 1.5300813008130074, 
mt0000139242, 1.896515441176472, 1.739836764705883, 1.6720588235294112, 
mt0000143859, 1.826935211267605, 1.7048000000000003, 1.5154929577464786, 
mt0000144424, 1.738130681818182, 1.58424090909091, 1.643181818181818, 
mt0000145509, 1.8749510869565205, 1.7875543478260858, 1.7097826086956516, 
mt0000146284, 1.930129347826087, 1.6632684782608695, 1.3782608695652179, 
mt0000147647, 1.8497588339222637, 1.6704607773851572, 1.7512367491166085, 
mt0000151451, 1.9143575471698113, 1.6222405660377355, 1.4981132075471701, 
mt0000151529, 1.7941077294685992, 1.6622657004830907, 1.6222222222222207, 
mt0000153361, 1.8361519801980208, 1.695695049504951, 1.7237623762376237, 
mt0000156763, 2.117292307692307, 1.8071230769230766, 1.7333333333333332, 
mt0000162219, 1.8590802197802208, 1.6846104395604407, 1.773626373626374, 
mt0000164441, 1.9702122222222218, 1.8424200000000004, 1.822222222222222, 
mt0000171421, 2.221960810810811, 1.9664932432432425, 1.451351351351352, 
mt0000171852, 1.8644375000000004, 1.6746482142857144, 1.3357142857142854, 
mt0000175597, 1.903962777777778, 1.6660416666666658, 1.7433333333333327, 
mt0000185453, 1.9457611111111104, 1.6750648148148148, 1.4481481481481482, 
mt0000185601, 1.8843823045267476, 1.6458053497942382, 1.587654320987653, 
mt0000186467, 1.7720405940594066, 1.6285069306930695, 1.356435643564357, 
mt0000191766, 1.859131818181818, 1.7162090909090908, 1.718181818181818, 
mt0000192982, 1.8474746153846155, 1.6150353846153847, 1.6907692307692304, 
mt0000195705, 1.9922990384615387, 1.8007576923076924, 1.659615384615385, 
mt0000214287, 1.9452823529411767, 1.694023529411765, 1.6776470588235293, 
mt0000225806, 1.9632955882352936, 1.766726470588235, 1.4764705882352946, 
mt0000239675, 1.9089999999999998, 1.6400897435897435, 1.6256410256410254, 
mt0000245808, 2.013162013729974, 1.747698627002286, 1.5995423340961101, 
mt0000251287, 2.0367724137931043, 1.6920059113300503, 1.6463054187192105, 
mt0000252574, 1.8820831932773108, 1.7014436974789913, 1.517647058823528, 
mt0000259235, 1.8996631999999996, 1.6786304, 1.646399999999999, 
mt0000265621, 1.935110169491525, 1.7025338983050848, 1.7457627118644072, 
mt0000268576, 1.838298148148147, 1.6418913580246914, 1.7567901234567893, 
mt0000268701, 1.9792105263157902, 1.6863701754385965, 1.7333333333333336, 
mt0000273374, 2.0239847457627116, 1.8089110169491531, 1.5491525423728807, 
mt0000273430, 1.8753554216867465, 1.6389168674698795, 1.412048192771085, 
mt0000277633, 1.8569927659574461, 1.6895672340425527, 1.5931914893617019, 
mt0000283644, 1.8788409574468086, 1.6729244680851072, 1.6265957446808499, 
mt0000293345, 1.94831686746988, 1.6764156626506028, 1.6698795180722894, 
mt0000310204, 2.123485714285716, 1.7529008928571437, 1.4749999999999999, 
mt0000315363, 1.9158477987421392, 1.763964150943397, 1.7496855345911941, 
mt0000316110, 1.9357453333333334, 1.72736, 1.5386666666666668, 
mt0000318206, 1.795575789473684, 1.6778705263157896, 1.4757894736842094, 
mt0000320757, 1.8052416666666669, 1.6444324074074084, 1.47037037037037, 
mt0000325093, 1.9400374999999992, 1.6453293269230755, 1.5692307692307688, 
mt0000326433, 1.9613601265822778, 1.692578481012658, 1.4848101265822786, 
mt0000330045, 1.9221312195121953, 1.6475712195121945, 1.7424390243902426, 
mt0000345937, 1.9344302949061665, 1.747443431635388, 1.5447721179624638, 
mt0000353361, 1.8629701298701302, 1.68513051948052, 1.6337662337662335, 
mt0000361419, 2.001594285714286, 1.6358514285714283, 1.497142857142857, 
mt0000371043, 1.8329042168674705, 1.7583927710843368, 1.6590361445783117, 
mt0000380971, 1.8836528301886797, 1.6404084905660379, 1.4830188679245284, 
mt0000391566, 1.7889115384615395, 1.6525314102564097, 1.5641025641025634, 
mt0000398595, 1.845488235294118, 1.6855932773109243, 1.4941176470588233, 
mt0000402499, 1.7737324503311254, 1.7541390728476824, 1.6543046357615883, 
mt0000409764, 1.8497395604395601, 1.5737373626373625, 1.4791208791208796, 
mt0000409922, 1.9978066666666667, 1.7644016666666666, 1.6366666666666674, 
mt0000412380, 1.8559857843137273, 1.6992514705882342, 1.6643790849673255, 
mt0000421504, 1.9849989247311837, 1.733086021505377, 1.8279569892473118, 
mt0000425270, 1.8569801354401811, 1.663667720090293, 1.5336343115124147, 
mt0000431226, 1.9249154285714283, 1.7241959999999992, 1.6171428571428565, 
