entry, positiv, negativ, pstv, affil, ngtv, hostile, strong, power, weak, submit, active, passive, pleasur, pain, feel, arousal, emot, virtue, vice, ovrst, undrst, academ, doctrin, econ@, exch, econ, exprsv, legal, milit, polit@, polit, relig, role, coll, work, ritual, socrel, race, kin@, male, female, nonadlt, hu, ani, place, social, region, route, aquatic, land, sky, object, tool, food, vehicle, bldgpt, comnobj, natobj, bodypt, comform, com, say, need, goal, try, means, persist, complet, fail, natrpro, begin, vary, increas, decreas, finish, stay, rise, exert, fetch, travel, fall, think, know, causal, ought, perceiv, compare, eval@, eval, solve, abs@, abs, quality, quan, numb, ord, card, freq, dist, time@, time, space, pos, dim, rel, color, self, our, you, name, yes, no, negate, intrj, iav, dav, sv, ipadj, indadj, powgain, powloss, powends, powaren, powcon, powcoop, powaupt, powpt, powdoct, powauth, powoth, powtot, rcethic, rcrelig, rcgain, rcloss, rcends, rctot, rspgain, rsploss, rspoth, rsptot, affgain, affloss, affpt, affoth, afftot, wltpt, wlttran, wltoth, wlttot, wlbgain, wlbloss, wlbphys, wlbpsyc, wlbpt, wlbtot, enlgain, enlloss, enlends, enlpt, enloth, enltot, sklasth, sklpt, skloth, skltot, trngain, trnloss, tranlw, meanslw, endslw, arenalw, ptlw, nation, anomie, negaff, posaff, surelw, if, notlw, timespc, formlw, 
mt0000008995, 34, 7, 34, 34, 7, 3, 45, 6, 6, 2, 38, 32, 15, 0, 0, 5, 15, 11, 12, 60, 4, 0, 0, 3, 0, 3, 0, 7, 0, 0, 0, 0, 2, 0, 3, 3, 24, 0, 0, 0, 0, 1, 2, 0, 4, 2, 0, 2, 0, 0, 0, 6, 1, 0, 0, 0, 5, 0, 0, 2, 1, 0, 3, 0, 1, 0, 19, 1, 0, 7, 0, 2, 0, 0, 2, 1, 0, 0, 2, 2, 0, 0, 6, 2, 1, 0, 0, 0, 12, 10, 0, 2, 4, 15, 10, 10, 0, 2, 0, 40, 2, 7, 8, 0, 8, 0, 13, 0, 8, 0, 0, 0, 0, 4, 38, 16, 42, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 13, 14, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 20, 0, 0, 11, 31, 0, 0, 3, 3, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 8, 8, 6, 0, 0, 6, 0, 0, 6, 0, 7, 0, 0, 0, 0, 0, 0, 9, 1, 0, 41, 1, 
mt0000022649, 16, 4, 16, 23, 4, 3, 4, 6, 6, 1, 20, 20, 10, 0, 0, 3, 10, 5, 0, 4, 2, 0, 0, 4, 4, 0, 0, 1, 0, 1, 0, 0, 4, 0, 2, 0, 14, 0, 1, 0, 3, 0, 4, 0, 2, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 7, 2, 0, 1, 1, 1, 3, 0, 2, 2, 2, 0, 2, 0, 0, 4, 0, 1, 1, 2, 5, 0, 0, 1, 1, 4, 0, 0, 0, 0, 4, 1, 2, 0, 7, 3, 0, 3, 0, 0, 3, 1, 6, 0, 0, 2, 0, 9, 2, 5, 0, 0, 1, 4, 3, 27, 10, 18, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 4, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 12, 0, 4, 6, 22, 0, 4, 2, 6, 0, 0, 2, 1, 0, 3, 4, 0, 0, 0, 4, 8, 0, 0, 0, 0, 0, 4, 4, 1, 2, 0, 1, 0, 0, 0, 0, 4, 2, 5, 11, 3, 
mt0000024499, 39, 13, 39, 16, 12, 7, 48, 8, 7, 2, 38, 17, 4, 1, 0, 4, 5, 28, 6, 14, 23, 2, 0, 1, 0, 0, 6, 2, 0, 0, 0, 0, 3, 0, 15, 5, 13, 0, 0, 1, 0, 1, 3, 0, 17, 4, 0, 0, 0, 9, 4, 7, 1, 4, 0, 0, 2, 0, 1, 10, 3, 4, 1, 2, 2, 7, 1, 5, 1, 9, 3, 4, 0, 0, 0, 1, 2, 6, 1, 2, 0, 0, 10, 7, 5, 2, 1, 0, 13, 6, 4, 8, 17, 8, 0, 0, 0, 7, 1, 14, 3, 29, 6, 6, 3, 2, 19, 0, 9, 0, 2, 3, 19, 10, 57, 16, 49, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 5, 0, 0, 0, 0, 5, 0, 1, 3, 4, 7, 0, 1, 3, 11, 0, 0, 0, 0, 0, 2, 5, 3, 2, 12, 5, 0, 3, 0, 15, 23, 2, 0, 14, 16, 2, 1, 8, 3, 3, 0, 2, 0, 0, 2, 2, 4, 2, 22, 31, 8, 
mt0000026571, 18, 11, 17, 22, 11, 4, 26, 7, 12, 4, 49, 26, 6, 3, 0, 2, 9, 5, 8, 6, 5, 0, 0, 3, 0, 2, 4, 2, 2, 3, 2, 0, 0, 1, 4, 1, 18, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 5, 3, 1, 0, 0, 1, 0, 1, 8, 5, 1, 7, 3, 5, 8, 2, 1, 1, 5, 2, 5, 2, 0, 12, 0, 0, 0, 3, 12, 0, 0, 1, 6, 0, 0, 0, 0, 3, 7, 3, 9, 1, 7, 1, 0, 1, 9, 0, 39, 6, 18, 0, 9, 2, 0, 2, 0, 8, 0, 0, 0, 0, 0, 48, 19, 14, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 5, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 9, 0, 0, 5, 14, 0, 0, 3, 3, 0, 4, 4, 5, 1, 14, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 1, 2, 0, 24, 5, 
mt0000027422, 26, 4, 26, 16, 3, 13, 31, 3, 21, 7, 44, 38, 0, 4, 0, 9, 6, 16, 1, 20, 20, 0, 0, 0, 0, 1, 0, 8, 2, 2, 1, 1, 3, 3, 10, 0, 12, 0, 1, 4, 0, 0, 6, 0, 9, 1, 0, 0, 0, 2, 6, 6, 4, 0, 0, 0, 2, 0, 6, 26, 9, 0, 5, 1, 0, 6, 5, 2, 0, 15, 2, 4, 4, 0, 7, 0, 0, 3, 0, 2, 0, 0, 12, 3, 1, 8, 1, 0, 5, 9, 2, 4, 0, 28, 1, 0, 1, 4, 0, 11, 2, 28, 0, 9, 5, 0, 0, 0, 0, 0, 1, 4, 21, 5, 47, 26, 12, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2, 7, 9, 1, 0, 0, 0, 10, 3, 0, 5, 8, 4, 0, 1, 2, 7, 0, 0, 0, 0, 0, 1, 4, 0, 0, 5, 1, 0, 0, 0, 20, 21, 0, 0, 1, 1, 2, 0, 10, 0, 9, 1, 3, 0, 0, 0, 5, 11, 5, 23, 17, 15, 
mt0000030834, 22, 41, 24, 31, 41, 7, 44, 13, 9, 3, 50, 35, 9, 7, 0, 6, 19, 6, 29, 27, 4, 0, 0, 2, 2, 1, 0, 2, 0, 0, 4, 0, 0, 0, 8, 0, 21, 0, 0, 6, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 2, 2, 1, 0, 0, 0, 1, 0, 0, 10, 4, 4, 2, 0, 3, 8, 4, 0, 0, 5, 1, 5, 0, 0, 3, 1, 0, 2, 3, 11, 0, 0, 12, 6, 0, 1, 0, 0, 12, 7, 1, 2, 0, 5, 0, 0, 0, 0, 0, 4, 1, 11, 1, 1, 3, 0, 10, 0, 2, 0, 12, 1, 3, 8, 39, 20, 15, 0, 0, 1, 0, 0, 0, 5, 2, 0, 0, 0, 0, 11, 19, 2, 0, 1, 0, 0, 3, 0, 0, 1, 1, 14, 0, 0, 7, 21, 0, 0, 1, 1, 0, 12, 0, 6, 0, 18, 5, 0, 0, 0, 7, 12, 0, 0, 2, 2, 0, 2, 6, 1, 4, 0, 0, 0, 0, 6, 4, 22, 6, 1, 10, 5, 
mt0000031210, 49, 10, 49, 50, 10, 5, 14, 2, 9, 0, 16, 44, 21, 0, 0, 9, 25, 5, 4, 2, 4, 0, 0, 6, 1, 3, 5, 5, 0, 0, 0, 0, 2, 0, 3, 0, 27, 0, 0, 0, 0, 0, 2, 0, 6, 1, 0, 0, 4, 0, 1, 6, 2, 0, 2, 0, 1, 1, 0, 6, 4, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 3, 8, 0, 0, 0, 1, 0, 4, 0, 10, 0, 0, 4, 0, 7, 0, 11, 0, 0, 2, 10, 2, 14, 11, 11, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 32, 0, 0, 15, 47, 0, 0, 2, 2, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 0, 0, 2, 0, 0, 0, 4, 2, 0, 12, 11, 4, 
mt0000040773, 17, 14, 13, 6, 14, 9, 31, 4, 7, 1, 73, 21, 5, 5, 0, 6, 7, 11, 0, 36, 12, 2, 0, 4, 0, 1, 22, 5, 0, 1, 0, 0, 0, 3, 16, 8, 14, 0, 0, 0, 0, 0, 3, 0, 4, 3, 0, 0, 0, 1, 0, 45, 22, 10, 0, 5, 8, 0, 0, 29, 23, 0, 3, 1, 5, 2, 1, 1, 2, 1, 1, 2, 3, 0, 3, 0, 1, 2, 1, 28, 0, 0, 2, 4, 1, 10, 0, 0, 5, 11, 3, 5, 4, 25, 0, 0, 0, 7, 0, 23, 2, 23, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 59, 28, 14, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 6, 9, 3, 0, 0, 0, 0, 3, 2, 1, 0, 3, 1, 0, 0, 0, 1, 0, 0, 5, 5, 7, 2, 5, 9, 0, 23, 10, 0, 0, 0, 3, 13, 10, 0, 3, 13, 0, 0, 5, 0, 7, 0, 0, 0, 1, 0, 4, 17, 2, 1, 16, 15, 
mt0000042939, 22, 50, 22, 15, 46, 18, 67, 10, 13, 6, 38, 22, 2, 15, 0, 8, 8, 6, 18, 14, 2, 0, 0, 4, 0, 14, 0, 1, 0, 3, 15, 4, 6, 4, 9, 1, 17, 2, 0, 0, 0, 0, 11, 0, 12, 4, 2, 1, 0, 2, 3, 8, 5, 0, 0, 1, 1, 0, 2, 10, 5, 0, 4, 1, 0, 3, 0, 2, 2, 2, 1, 2, 1, 0, 2, 3, 2, 2, 2, 5, 1, 0, 4, 10, 0, 6, 0, 0, 7, 6, 0, 16, 9, 7, 2, 0, 2, 1, 0, 28, 16, 19, 0, 0, 7, 6, 5, 0, 18, 8, 0, 0, 1, 3, 43, 16, 21, 0, 1, 5, 3, 0, 0, 2, 0, 1, 2, 0, 0, 4, 17, 4, 2, 3, 0, 0, 9, 0, 2, 3, 5, 4, 0, 0, 1, 5, 1, 0, 6, 7, 0, 14, 3, 9, 2, 28, 3, 0, 4, 0, 11, 18, 0, 0, 0, 0, 1, 2, 6, 4, 0, 0, 2, 0, 1, 7, 2, 5, 3, 1, 20, 8, 
mt0000043184, 32, 27, 35, 17, 33, 16, 50, 21, 9, 3, 43, 31, 1, 1, 0, 13, 4, 24, 15, 31, 25, 0, 0, 2, 0, 3, 4, 10, 0, 2, 2, 9, 7, 0, 7, 0, 21, 0, 0, 2, 0, 0, 7, 1, 1, 1, 0, 0, 0, 0, 0, 13, 6, 0, 0, 0, 3, 3, 5, 10, 4, 3, 8, 8, 4, 11, 3, 6, 0, 11, 0, 0, 0, 0, 7, 1, 4, 2, 5, 7, 0, 0, 10, 14, 6, 3, 0, 0, 9, 18, 9, 9, 5, 25, 3, 0, 3, 7, 0, 14, 0, 20, 0, 0, 9, 0, 22, 6, 21, 0, 6, 7, 3, 9, 63, 22, 43, 0, 2, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 13, 21, 19, 0, 5, 0, 8, 32, 1, 0, 1, 2, 3, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 14, 0, 0, 14, 10, 0, 4, 0, 26, 40, 2, 0, 0, 2, 1, 2, 6, 0, 8, 0, 1, 0, 0, 15, 6, 9, 17, 3, 27, 5, 
