Id,WordsDictionary_Count,CapitalLetters_cfcl,CapitalLetters_cacl,
mt0000008995,47,27,0,
mt0000022649,33,12,0,
mt0000024499,74,34,0,
mt0000026571,36,6,0,
mt0000027422,76,30,0,
mt0000030834,50,29,0,
mt0000031210,33,23,0,
mt0000040773,107,32,0,
mt0000042939,74,31,0,
mt0000043184,90,40,0,
mt0000045773,81,26,0,
mt0000048600,78,28,0,
mt0000052463,313,0,0,
mt0000053935,80,20,0,
mt0000054766,106,70,0,
mt0000059269,39,23,0,
mt0000063684,75,49,0,
mt0000067251,102,30,0,
mt0000082188,26,21,0,
mt0000086428,44,26,0,
mt0000090550,49,16,0,
mt0000091401,83,54,0,
mt0000091781,34,20,0,
mt0000092637,43,26,0,
mt0000095414,36,10,0,
mt0000103049,36,31,0,
mt0000103874,121,31,0,
mt0000105492,59,31,0,
mt0000106285,65,26,1,
mt0000111068,46,42,0,
mt0000119701,25,19,0,
mt0000119987,140,75,5,
mt0000124779,68,48,0,
mt0000128573,36,69,0,
mt0000130807,47,19,0,
mt0000139242,53,47,0,
mt0000143859,37,17,0,
mt0000144424,47,13,0,
mt0000145509,68,34,0,
mt0000146284,38,10,0,
mt0000147647,260,110,0,
mt0000151451,52,13,0,
mt0000151529,85,60,0,
mt0000153361,82,53,0,
mt0000162219,89,25,0,
mt0000164441,28,15,0,
mt0000171421,53,28,0,
mt0000171852,21,11,0,
mt0000175597,81,32,0,
mt0000185453,20,15,0,
mt0000185601,174,155,46,
mt0000186467,47,52,0,
mt0000191766,31,4,0,
mt0000192982,56,20,0,
mt0000195705,34,14,0,
mt0000214287,51,12,0,
mt0000225806,42,12,0,
mt0000239675,46,23,0,
mt0000245808,344,76,0,
mt0000252574,137,54,0,
mt0000259235,66,30,0,
mt0000265621,18,20,0,
mt0000268576,77,37,0,
mt0000268701,42,35,0,
mt0000273374,34,22,0,
mt0000277633,132,43,0,
mt0000293345,29,22,0,
mt0000310204,66,24,0,
mt0000315363,77,17,0,
mt0000316110,39,17,0,
mt0000318206,20,30,0,
mt0000320757,48,21,0,
mt0000325093,55,41,0,
mt0000326433,67,32,0,
mt0000330045,101,51,0,
mt0000345937,198,69,0,
mt0000353361,81,55,0,
mt0000361419,12,16,0,
mt0000371043,77,33,0,
mt0000380971,47,19,0,
mt0000391566,69,27,0,
mt0000398595,52,28,0,
mt0000402499,68,42,9,
mt0000409922,27,15,0,
mt0000412380,317,112,0,
mt0000421504,37,19,0,
mt0000425270,266,112,3,
mt0000431226,101,28,0,
mt0000436815,87,32,0,
mt0000447539,28,21,0,
mt0000463371,47,41,0,
mt0000464234,211,77,1,
mt0000475876,262,55,0,
mt0000489470,65,34,0,
mt0000495842,61,0,0,
mt0000502143,53,37,0,
mt0000515256,47,21,0,
mt0000518591,93,37,1,
mt0000526302,52,43,0,
mt0000526867,67,50,0,
mt0000530706,42,48,0,
mt0000552259,42,22,0,
mt0000553622,41,21,0,
mt0000564376,68,22,0,
mt0000567692,89,37,0,
mt0000570966,165,43,0,
mt0000580738,86,39,0,
mt0000592222,77,20,0,
mt0000599398,28,22,0,
mt0000603187,102,0,0,
mt0000604234,49,29,0,
mt0000606812,92,38,0,
mt0000630628,62,41,1,
mt0000633351,22,7,0,
mt0000638424,46,29,0,
mt0000638634,83,46,0,
mt0000643201,62,44,0,
mt0000652082,47,19,0,
mt0000666429,142,50,4,
mt0000667625,59,18,0,
mt0000670865,77,26,0,
mt0000685324,47,19,0,
mt0000685538,40,31,0,
mt0000688115,49,13,0,
mt0000688312,90,49,0,
mt0000689110,51,22,0,
mt0000690637,142,29,0,
mt0000704913,68,33,0,
mt0000707663,54,32,0,
mt0000712071,68,20,0,
mt0000714708,90,53,0,
mt0000720686,37,20,0,
mt0000721873,84,50,0,
mt0000728975,77,32,0,
mt0000734482,26,15,0,
mt0000744293,59,38,4,
mt0000747666,106,60,0,
mt0000753074,79,35,0,
mt0000766316,76,39,1,
mt0000775053,73,23,0,
mt0000776108,52,18,0,
mt0000783307,145,73,2,
mt0000787002,100,28,0,
mt0000789330,19,23,0,
mt0000814289,27,15,0,
mt0000832464,199,53,0,
mt0000842929,74,39,0,
mt0000844574,104,46,0,
mt0000847731,56,19,0,
mt0000850050,81,25,0,
mt0000851865,104,52,1,
mt0000853072,19,1,0,
mt0000857760,47,24,0,
mt0000863232,40,11,0,
mt0000871290,84,41,0,
mt0000874328,108,29,0,
mt0000874482,87,34,0,
mt0000875199,61,28,0,
mt0000875520,52,14,0,
mt0000878275,52,41,0,
mt0000886390,59,20,0,
mt0000889229,41,28,0,
mt0000895905,50,24,0,
mt0000903225,44,13,0,
mt0000927561,19,19,0,
mt0000931402,25,29,0,
mt0000948111,64,22,0,
mt0000950090,36,37,0,
mt0000951610,73,38,0,
mt0000968326,168,55,0,
mt0000971800,51,47,0,
mt0000983092,61,56,0,
mt0001020011,20,18,0,
mt0001030436,25,10,0,
mt0001032211,32,24,0,
mt0001043721,137,104,14,
mt0001062700,43,27,0,
mt0001073553,98,53,0,
mt0001096019,38,23,0,
mt0001101467,251,119,1,
mt0001102610,84,30,0,
mt0001104467,79,33,0,
mt0001106114,101,42,0,
mt0001117815,79,53,0,
mt0001126926,21,4,0,
mt0001137053,21,12,0,
mt0001141875,0,176,0,
mt0001152664,26,23,0,
mt0001153847,78,21,0,
mt0001157069,72,36,1,
mt0001193202,27,26,0,
mt0001194164,46,20,0,
mt0001202986,97,37,0,
mt0001232924,38,19,0,
mt0001236337,62,39,0,
mt0001243097,79,14,0,
mt0001265984,55,24,0,
mt0001266436,37,21,0,
mt0001277283,45,19,0,
mt0001297031,44,17,0,
mt0001298241,183,58,0,
mt0001305550,22,11,0,
mt0001321861,260,87,10,
mt0001353828,252,125,3,
mt0001356476,140,65,0,
mt0001356637,83,0,0,
mt0001361436,35,18,0,
mt0001369981,46,24,0,
mt0001372070,17,9,0,
mt0001374103,39,16,0,
mt0001383277,267,71,4,
mt0001385947,110,38,0,
mt0001393272,69,0,0,
mt0001395462,56,26,0,
mt0001397431,111,38,0,
mt0001453285,17,7,0,
mt0001469090,92,57,0,
mt0001473158,195,87,7,
mt0001481574,212,69,0,
mt0001497786,103,59,0,
mt0001509615,32,18,0,
mt0001518335,64,23,0,
mt0001522985,0,594,0,
mt0001531856,46,23,0,
mt0001531906,67,21,0,
mt0001535201,86,40,0,
mt0001566152,25,12,0,
mt0001578777,34,43,0,
mt0001590201,90,38,0,
mt0001595082,45,36,0,
mt0001598710,108,39,0,
mt0001608358,61,29,0,
mt0001608499,58,20,0,
mt0001609043,125,42,0,
mt0001610102,176,36,0,
mt0001612417,116,42,0,
mt0001634305,107,3,0,
mt0001638394,25,23,0,
mt0001641165,163,131,15,
mt0001646256,23,11,0,
mt0001653728,51,17,0,
mt0001658982,45,13,0,
mt0001664577,264,149,0,
mt0001698737,54,29,0,
mt0001710592,71,71,0,
mt0001722508,61,43,0,
mt0001753032,60,26,0,
mt0001779167,61,17,0,
mt0001802833,97,46,0,
mt0001832838,61,25,0,
mt0001839466,13,19,0,
mt0001863823,42,22,0,
mt0001866808,56,22,0,
mt0001879903,62,3,0,
mt0001891260,64,33,0,
mt0001921677,64,39,0,
mt0001927015,65,47,0,
mt0001943830,29,17,0,
mt0001967655,99,30,0,
mt0001972829,65,21,0,
mt0001992879,65,26,0,
mt0002014752,42,21,0,
mt0002024741,113,43,0,
mt0002034238,96,59,0,
mt0002060109,28,24,0,
mt0002067509,89,25,1,
mt0002070314,264,125,13,
mt0002164399,52,28,0,
mt0002177145,104,29,0,
mt0002179342,37,21,0,
mt0002219182,69,38,0,
mt0002225477,288,111,1,
mt0002238737,30,18,0,
mt0002239079,242,110,0,
mt0002240771,53,36,0,
mt0002260787,22,8,0,
mt0002272314,79,35,0,
mt0002325544,29,9,0,
mt0002337555,20,25,0,
