ID, GeneralWeight, Valence, HappinessWeight, SadnessWeight, AngerWeight, FearWeight, DisgustWeight, SurpriseWeight
mt0000008995,1.0,1,1.0,0.26666666666666666,0.1,0.125,0.08888888888888889,0.05333333333333334
mt0000022649,1.0,1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0000024499,1.0,1,1.0,1.0,0.5,0.5,0.5,0.13333333333333333
mt0000026571,1.0,1,1.0,0.2,0.2,0.18181818181818182,0.04736842105263158,0.06153846153846154
mt0000027422,1.0,-1,0.8,0.8,0.9,1.0,0.7,0.32000000000000006
mt0000030834,1.0,-1,1.0,0.14285714285714285,0.14285714285714285,0.18181818181818182,0.14285714285714285,0.12857142857142856
mt0000031210,1.0,1,1.0,1.0,0.5,0.5,0.5,0.0
mt0000040773,1.0,1,1.0,0.3333333333333333,0.11428571428571428,1.0,0.05,1.0
mt0000042939,1.0,-1,1.0,1.0,1.0,1.0,0.4,1.0
mt0000043184,1.0,1,1.0,0.3333333333333333,0.14285714285714285,0.2571428571428571,0.25,1.0
mt0000045773,1.0,1,1.0,1.0,0.14285714285714285,1.0,1.0,0.05263157894736842
mt0000048600,1.0,1,1.0,1.0,0.08000000000000002,0.16000000000000003,0.18000000000000002,0.06153846153846154
mt0000052463,1.0,1,1.0,0.96,1.0,1.0,1.0,0.42
mt0000053935,1.0,1,1.0,0.8,0.9,0.9,0.7,0.15
mt0000054766,1.0,1,1.0,1.0,0.9,0.9,0.7,0.06153846153846154
mt0000059269,1.0,1,1.0,1.0,0.1,0.125,0.09090909090909091,0.06153846153846154
mt0000063684,0.26666666666666666,1,0.26666666666666666,0.26666666666666666,0.037037037037037035,0.022222222222222223,0.12857142857142856,0.02702702702702703
mt0000067251,1.0,-1,0.13636363636363635,1.0,0.14117647058823532,0.2571428571428571,0.10588235294117647,0.07142857142857142
mt0000082188,1.0,1,1.0,0.26666666666666666,0.05714285714285714,0.125,0.05,0.0
mt0000086428,1.0,1,0.8,0.3333333333333333,0.2,0.06,0.06,0.09000000000000001
mt0000090550,1.0,1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0000091401,1.0,-1,0.6,0.26666666666666666,1.0,0.2571428571428571,0.18000000000000002,0.02702702702702703
mt0000091781,1.0,-1,1.0,1.0,0.5,1.0,0.5,0.06153846153846154
mt0000092637,1.0,-1,1.0,1.0,0.12857142857142856,0.058823529411764705,0.04736842105263158,0.06153846153846154
mt0000095414,0.42857142857142855,-1,0.026470588235294117,0.42857142857142855,0.0,0.125,0.0,0.0
mt0000103049,1.0,1,1.0,0.26666666666666666,0.07272727272727274,0.08000000000000002,0.0,0.06153846153846154
mt0000103874,1.0,1,1.0,0.26666666666666666,0.15000000000000002,0.11428571428571428,0.08888888888888889,1.0
mt0000105492,1.0,1,1.0,1.0,0.5,0.5,0.5,1.0
mt0000106285,1.0,1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0000111068,1.0,-1,1.0,1.0,0.225,1.0,0.175,0.02702702702702703
mt0000119701,1.0,1,1.0,0.26666666666666666,0.1,0.0,0.16000000000000003,0.9
mt0000119987,1.0,1,1.0,0.6,1.0,0.2571428571428571,0.25,0.9
mt0000124779,1.0,1,1.0,1.0,0.5,0.5,0.5,0.09000000000000001
mt0000128573,1.0,-1,1.0,1.0,0.13714285714285712,0.30857142857142855,0.11999999999999998,0.02608695652173913
mt0000130807,0.6666666666666666,-1,0.13636363636363635,0.06153846153846154,0.07692307692307693,0.6666666666666666,0.06153846153846154,0.0
mt0000139242,0.9285714285714286,-1,0.26666666666666666,0.8571428571428571,0.26666666666666666,0.7857142857142857,0.18000000000000002,0.06153846153846154
mt0000143859,1.0,-1,0.26666666666666666,1.0,0.5,0.5,0.5,0.0
mt0000144424,1.0,-1,1.0,1.0,0.1,0.0,0.13333333333333333,0.13333333333333333
mt0000145509,1.0,1,1.0,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.225
mt0000146284,1.0,1,1.0,0.8,0.9,0.9,0.7,0.06153846153846154
mt0000147647,1.0,-1,1.0,1.0,1.0,1.0,0.6,0.18
mt0000151451,1.0,1,1.0,1.0,0.5,0.5,0.5,0.225
mt0000151529,1.0,-1,0.3333333333333333,1.0,0.09090909090909091,0.7857142857142857,0.14285714285714285,0.05333333333333334
mt0000153361,1.0,-1,1.0,0.7,0.35,0.35,0.35,0.016
mt0000162219,1.0,1,1.0,1.0,0.5,0.5,1.0,0.06153846153846154
mt0000164441,1.0,1,1.0,0.3,0.11428571428571428,0.3,0.0,0.06153846153846154
mt0000171421,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0000171852,1.0,1,1.0,0.06666666666666667,0.1,0.18181818181818182,0.0,0.0
mt0000175597,1.0,-1,1.0,1.0,0.7,1.0,0.7,0.06153846153846154
mt0000185453,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.4
mt0000185601,1.0,-1,1.0,1.0,0.5,0.5,0.5,0.19999999999999998
mt0000186467,1.0,-1,1.0,0.32,1.0,0.09333333333333331,0.5,0.07384615384615385
mt0000191766,1.0,1,1.0,0.06153846153846154,0.12,0.03076923076923077,0.03076923076923077,0.06153846153846154
mt0000192982,1.0,-1,1.0,1.0,0.9,1.0,0.7,0.0
mt0000195705,1.0,1,1.0,0.17777777777777778,0.125,0.12857142857142856,0.06666666666666667,0.125
mt0000214287,1.0,1,1.0,0.3333333333333333,0.049999999999999996,0.26666666666666666,0.6666666666666666,0.06363636363636363
mt0000225806,1.0,1,1.0,0.19999999999999998,0.1,0.07777777777777777,0.0,1.0
mt0000239675,1.0,1,1.0,0.2,0.225,0.225,0.175,0.0
mt0000245808,1.0,1,1.0,1.0,0.6,0.6,0.6,0.15428571428571428
mt0000252574,1.0,1,1.0,1.0,0.7,0.8,0.7,0.06153846153846154
mt0000259235,1.0,1,1.0,0.26666666666666666,0.06923076923076923,0.047058823529411764,0.225,0.06153846153846154
mt0000265621,1.0,1,1.0,0.15,0.09090909090909091,0.18181818181818182,0.15,0.0
mt0000268576,1.0,-1,0.26666666666666666,1.0,0.09090909090909091,0.3,0.9,0.0
mt0000268701,1.0,1,1.0,0.6,0.26666666666666666,0.10666666666666667,0.18000000000000002,0.18000000000000002
mt0000273374,1.0,1,1.0,1.0,0.5,0.5,0.5,0.06153846153846154
mt0000277633,1.0,-1,0.26666666666666666,1.0,0.7,0.8,0.7,0.19999999999999998
mt0000293345,1.0,-1,0.7,0.08181818181818182,0.0625,0.25,0.0625,0.15
mt0000310204,1.0,1,1.0,1.0,0.7,0.8,0.7,0.05714285714285714
mt0000315363,0.8,-1,0.3,0.42857142857142855,0.7,0.8,0.7,0.12857142857142856
mt0000316110,1.0,1,1.0,1.0,0.45,0.45,1.0,0.8
mt0000318206,1.0,-1,0.32,1.0,0.18,1.0,0.03076923076923077,0.27
mt0000320757,1.0,1,1.0,1.0,0.2,0.15,0.18000000000000002,0.045000000000000005
mt0000325093,1.0,1,1.0,1.0,0.14285714285714285,0.11428571428571428,0.16666666666666666,0.06153846153846154
mt0000326433,1.0,1,1.0,0.8,0.9,0.9,0.7,0.06153846153846154
mt0000330045,1.0,1,1.0,0.2,0.1,0.15,0.15,0.06153846153846154
mt0000345937,1.0,-1,1.0,1.0,0.7,1.0,1.0,0.072
mt0000353361,1.0,1,1.0,1.0,0.75,0.75,0.75,0.15
